GeneID,GSM3024820,GSM3024822,GSM3024824,GSM3024826,GSM3024828,GSM3024830,GSM3024832,GSM3024834,GSM3024836,GSM3024838,GSM3024840,GSM3024842,GSM3024844,GSM3024846,GSM3024848,GSM3024850,GSM3024852,GSM3024854,GSM3024856,GSM3024858,GSM3024860,GSM3024863
105376333,36.2,36.64,48.79,0.384,14.54,29.13,29.11,16.2,12.74,41.3,58.86,31.93,20.11,11,57.85,33.49,39.81,9.294,9.135,8.696,32.71,48.19
105376332,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01034,0,0,0,0,0.08155,0,0,0
105379525,1.094,3.917,0.1037,0,0.8002,0,0.4339,0,0.2802,0,0,0,0.1013,0.09024,1.125,0.4483,0.3275,0,1.423,0.06344,0,0
102724727,0,11.32,0.5017,18.18,5,0.5397,10.36,5.968,0.1694,0.3536,0.03578,0,1.776,1.382,7.434,9.667,3.168,14.63,28.98,2.416,0.3651,2.373
107987370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02431,0,0,0,0,0,0,0
107987372,0,1.137,0,0,0,0,0,0,0,0,0,0,0,0,0.3175,0,0,0,0,0,0,0
102724813,0.02229,8.258,0.1395,0,0.4404,0.8039,0.7959,0.02786,0.2399,0.2253,0.7599,0,0.3839,0.6731,27.83,16.56,54.98,0,2.002,4.22,3.356,0
102723376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08286,0,0,0,0,0
347688,69.11,0.3957,0.2678,0.01625,42.55,0.247,45.94,3.046,0.2757,0.03236,0.6223,15.4,0.1214,0.05826,46.45,34.52,128.3,0.3837,26.65,0.1053,0.568,0
10771,1.042,16.48,15.23,30.62,2.625,18.2,6.914,3.16,16.13,17.73,6.296,0.7672,18.69,23.22,10.68,0.6163,5.136,1.251,0.2224,19.33,19.84,11.16
107984190,0,0,6.01,0,0,5.706,1.978,9.491,5.048,3.941,2.543,0,8.769,13.69,5.536,2.043,0,0,0,7.146,5.897,3.659
107984191,0,0,0,0,0,0,0.6203,0,0,0,0,0,0.02632,0,0,0,0,0,0,0,0,0
22982,3.71,29.54,9.116,0.2611,7.509,10.02,4.786,8.008,5.585,9.143,13.35,0.02998,6.627,8.048,6.538,9.022,9.67,1.352,9.374,5.48,6.81,6.609
105376340,0,0,0,0,0,0,0,0,0,0,0,0,0.02063,0.05514,0,0,0.4669,0,0,0,0,0
101930421,0,0,0,0,0,0,0,0,0,0,0,0,0.06114,0.02179,0,0,0,0,0,0,0,0
100847086,0,0,0,0,0,0,0,0,0,0.2037,0,0,0,0,0,0,0,0,0,0,0,0
414235,6.614,0,3.523,2.081,2.116,4.464,3.825,4.354,2.509,4.245,6.516,0.003057,2.229,2.328,0.05143,5.637,1.924,0,3.053,2.419,2.102,5.921
23185,2.11,1.595,3.683,0,0.9352,3.852,0.7691,4.357,1.885,3.724,2.301,0.5223,4.71,3.917,2.897,3.685,0.3185,0,0.6252,5.423,3.995,5.588
101927762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107984285,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0183,0,0.03031,0,0,0,0,0,0
105376341,0,0.1325,0.01473,0,0.1136,0.005762,0.06162,0.02696,0.01327,0,0.01681,0,0,0,0.03551,0.08488,0.09301,0.129,0,0,0,0
23560,0,0.6304,3.723,0.5645,2.107,4.99,0.8474,2.799,2.103,4.108,2.431,0,5.111,5.271,5.69,0,5.447,0,3.186,5.488,6.352,7.587
91734,0.6461,0,0.2398,0,0.9251,1.163,0,0.07021,0.9647,1.122,0.6294,0,1.139,0.904,1.754,0,0.9589,0,0,0.528,1.591,0.33
55853,1.927,15.8,0.5814,13.35,2.948,0.3704,1.39,0,0.374,0.8288,0.9099,0,0.7136,0.6214,5.346,6.677,3.671,0,7.523,2.56,1.059,1.243
3422,0.455,10.14,1.908,2.667,4.289,2.828,0.2777,0.2879,1.262,2.807,0.7898,0,2.155,1.848,10.67,0.6312,12.29,0,1.093,4.598,2.669,1.088
22884,1.023,5.366,4.81,0,6.267,4.12,4.987,1.524,2.28,5.089,6.335,5.943,4.829,4.321,6.735,0.1824,0.2665,0,0,3.933,6.762,9.102
105376344,0,0.0292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0.03146,0.1702,0.02558,1.742,0.3947,0.1111,1.386,0.6825,0.02764,0.002163,0.0613,0,0.01998,0.1669,0.2035,1.603,3.965,0,0.2633,0,0.03574,0
105376342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
642394,0,0.1797,0.1998,0,0,0.2052,0,0,0,0.06336,0,1.628,0,0.5866,0,0,0,0,0,0,0,0
105376345,0,0,0,0,0,0,0.08784,0.01844,0,0,0,0,0,0,0,0,0.02652,0,0,0,0,0
105376346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282980,0,0,0,0.158,0.07976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102465944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.335,0,0,0,0
105376348,0,0,0,0,0,0,2.578,0,0,0,0,0,0,0.01129,0,0,0,0,0,0,0,0
107984168,0,0,0.01367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05106,0,0,0,0,0,0
105376349,0,0,0,0,0,0,0.6559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
